company_name,name,provides_name,require
上海华铭智能终端设备股份有限公司,Python开发工程师,1-1.5万/月,
上铁互联信息技术江苏有限公司,Python初级开发工程师,1-1.5万/月,
易宝软件（东莞）有限公司,Python开发工程师,2-2.5万/月,
广州烽云信息科技有限公司,PYTHON开发工程师（年底双薪+五险一金）,1.5-2万/月,
云达信息技术有限公司,Python开发工程师,0.8-1.5万/月,
深圳市起风智能科技有限公司,Python开发工程师,1.6-2.5万/月,
深圳市众云网有限公司,Python开发工程师,1.3-2.5万/月,
广州市宇华网络科技有限公司,Python开发工程师,1.5-2万/月,
深圳创盈芯实业有限公司,Python开发工程师,0.8-1万/月,
瑞银企业管理（中国）有限公司,Python & C++ Developer,2-2.5万/月,
博彦科技股份有限公司,Python高级开发工程师,2.5-3万/月,
浩鲸云计算科技股份有限公司,Python开发工程师,1.2-1.6万/月,
成都迈思信息技术有限公司,Python开发工程师,1-1.5万/月,
中科创达软件股份有限公司,Python开发工程师,1.2-1.6万/月,
上海华讯网络系统有限公司,高级Python开发工程师（上海）,1.5-2.5万/月,
深圳市睿服科技有限公司,Python开发工程师,1.3-1.5万/月,
上海宾孚数字科技集团有限公司,Python后端工程师,1-1.5万/月,
广州菜根信息科技有限公司,Python开发工程师,1.5-2万/月,
上海弈倍私募基金管理有限公司,Python开发工程师,1.2-2万/月,
上海纳恩汽车技术股份有限公司,C# Python 开发工程师,1-1.5万/月,
慧博云通科技股份有限公司,开发工程师（python、golang）,1.5-2万/月,
湖北九同方微电子有限公司,软件开发工程师（Python/Qt）,1.5-3万/月,
汉堂软件工程（上海）有限公司,Python开发工程师（互联网大厂外包）,1-1.5万/月,
深圳市点顺通科技有限公司,Python开发工程师,1.5-2万/月,
上海大岂网络科技有限公司,高级Python工程师,1.5-2.5万/月,
广州市斯睿特智能科技有限公司,Python开发工程师,1.2-1.8万/月,
马衡达信息技术（上海）有限公司,Python/C++开发工程师,1.3-2.5万/月,
深圳市德科信息技术有限公司,Python开发工程师,1.5-2万/月,
深圳市前海房极客网络科技有限公司,Python爬虫开发工程师,1-1.5万/月,
广州麦仑信息科技有限公司,Python 后端开发工程师,1.4-2万/月,
广州四千里数据科技有限公司,Python（PRA）开发工程师,1.3-1.8万/月,
深圳极联信息技术股份有限公司,Python开发工程师,1.4-1.8万/月,
信必优(深圳)信息技术有限公司,Python工程师,1.2-1.8万/月,
上海凯诘电子商务股份有限公司,python爬虫工程师 (MJ000132),1-1.5万/月,
达而观信息科技（上海）有限公司,Python高级开发工程师,1.5-3万/月,
深圳市驱动人生科技股份有限公司,Python后台开发工程师,1.3-2.2万/月,
广州掌动智能科技有限公司,Python开发工程师,0.9-1.4万/月,
西安敦讯信息技术有限公司,Python开发工程师,5-8千/月,
广州健新科技有限责任公司,Python开发工程师,0.8-1.2万/月,
智捷融汇（大连）科技有限公司,python开发,2.5-3万/月,
创新奇智（上海）科技有限公司,Python开发工程师,1.2-1.6万/月,
源亿（北京）网络科技有限公司,Python开发工程师,1-1.5万/月,
北京联创信安科技股份有限公司,Python高级开发工程师,1.5-2.2万/月,
畅索软件科技（上海）有限公司,Python开发/AI工程师(426L),1.5-2万/月,
博士眼镜连锁股份有限公司,Python开发工程师,1.4-1.6万/月,
上海聚发全信息科技有限公司,资深Python开发工程师,2-3万/月,
广东博士科技有限公司,Python开发工程师,1-1.5万/月,
优耐特（上海）动力技术有限公司,Python开发工程师,0.9-1.5万/月,
广州南天电脑系统有限公司,Python开发工程师,6-8千/月,
壹沓科技（上海）有限公司,Python开发工程师,2.5-5万/月,
